Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimization,Two-Qubit Gate Depth After Optimization,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
qiskit_bv_all_ones_39,qiskit_bv_all_ones_39_1e-08_ScanPartitioner3_LEAP,39,3.016479969,38,38,38,38,154,270,"HGate, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,6.105263158,13.52631579,2,2.105263158,,FALSE,BQSkit
qiskit_bv_all_ones_39,qiskit_bv_all_ones_39_OptimizationLevel3,39,0.1313562393,38,38,38,38,154,241,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_40,qiskit_bv_all_ones_40_1e-08_ScanPartitioner3_QSearch,40,3.203391552,39,39,39,39,158,277,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5.95,12.95,1.95,2,,FALSE,BQSkit
qiskit_bv_all_ones_40,qiskit_bv_all_ones_40_1e-08_ScanPartitioner3_LEAP,40,3.408707619,39,39,39,39,158,277,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5.95,13.2,1.95,2.05,,FALSE,BQSkit
qiskit_bv_all_ones_40,qiskit_bv_all_ones_40_OptimizationLevel3,40,0.1805047989,39,39,39,39,158,247,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_41,qiskit_bv_all_ones_41_1e-08_ScanPartitioner3_QSearch,41,3.292556524,40,40,40,40,162,284,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,6.1,13,2,2,,FALSE,BQSkit
qiskit_bv_all_ones_41,qiskit_bv_all_ones_41_1e-08_ScanPartitioner3_LEAP,41,3.448815584,40,40,40,40,162,284,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,6.1,13.25,2,2.05,,FALSE,BQSkit
qiskit_bv_all_ones_41,qiskit_bv_all_ones_41_OptimizationLevel3,41,0.1451840401,40,40,40,40,162,253,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_42,qiskit_bv_all_ones_42_1e-08_ScanPartitioner3_QSearch,42,3.922757864,41,41,41,41,166,291,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5.952380952,12.71428571,1.952380952,1.952380952,,FALSE,BQSkit
qiskit_bv_all_ones_42,qiskit_bv_all_ones_42_1e-08_ScanPartitioner3_LEAP,42,3.336068153,41,41,41,41,166,291,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5.952380952,12.71428571,1.952380952,1.952380952,,FALSE,BQSkit
